Facility Name,CCN,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,CMS_CareCompare_Page
ALAMEDA HOSPITAL,050211,2070 CLINTON AVENUE,ALAMEDA,CA,94501,ALAMEDA,(510) 522-3700,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050211/view-all?state=CA
ALTA BATES SUMMIT MEDICAL CENTER,050043,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,(510) 655-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050043/view-all?state=CA
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,050305,2450 ASHBY AVENUE,BERKELEY,CA,94705,ALAMEDA,(510) 204-4444,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050305/view-all?state=CA
BHC FREMONT HOSPITAL INC,054110,39001 SUNDALE DRIVE,FREMONT,CA,94538,ALAMEDA,(510) 796-1100,Psychiatric,Proprietary,No,https://www.medicare.gov/care-compare/details/hospital/054110/view-all?state=CA
EDEN MEDICAL CENTER,050488,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,(510) 537-1234,Acute Care Hospitals,Voluntary non-profit - Other,Yes,https://www.medicare.gov/care-compare/details/hospital/050488/view-all?state=CA
HIGHLAND HOSPITAL,050320,1411 EAST 31ST STREET,OAKLAND,CA,94602,ALAMEDA,(510) 437-4800,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050320/view-all?state=CA
KAISER FOUNDATION HOSPITAL - FREMONT,050512,39400 PASEO PADRE PKWY,FREMONT,CA,94538,ALAMEDA,(510) 784-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050512/view-all?state=CA
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,050075,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050075/view-all?state=CA
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,050777,2500 MERCED STREET,SAN LEANDRO,CA,94577,ALAMEDA,(510) 454-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050777/view-all?state=CA
ST ROSE HOSPITAL,050002,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Acute Care Hospitals,Voluntary non-profit - Church,No,https://www.medicare.gov/care-compare/details/hospital/050002/view-all?state=CA
STANFORD HEALTH CARE TRI-VALLEY,050283,5555 WEST LAS POSITAS BOULEVARD,PLEASANTON,CA,94588,ALAMEDA,(925) 847-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050283/view-all?state=CA
TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,054146,"2633 E 27TH STREET, BUILDING B",OAKLAND,CA,94601,ALAMEDA,(510) 535-5115,Psychiatric,Proprietary,No,https://www.medicare.gov/care-compare/details/hospital/054146/view-all?state=CA
UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,053301,747 52ND STREET,OAKLAND,CA,94609,ALAMEDA,(510) 428-3000,Childrens,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/053301/view-all?state=CA
WASHINGTON HOSPITAL,050195,2000 MOWRY AVE,FREMONT,CA,94538,ALAMEDA,(510) 797-1111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050195/view-all?state=CA
WILLOW ROCK CENTER,054149,2050 FAIRMONT DRIVE,SAN LEANDRO,CA,94578,ALAMEDA,(510) 895-5502,Psychiatric,Proprietary,No,https://www.medicare.gov/care-compare/details/hospital/054149/view-all?state=CA
CONTRA COSTA REGIONAL MEDICAL CENTER,050276,2500 ALHAMBRA AVENUE,MARTINEZ,CA,94553,CONTRA COSTA,(925) 370-5000,Acute Care Hospitals,Government - Local,Yes,https://www.medicare.gov/care-compare/details/hospital/050276/view-all?state=CA
JOHN MUIR BEHAVIORAL HEALTH CENTER,054131,2740 GRANT STREET,CONCORD,CA,94520,CONTRA COSTA,(925) 674-4101,Psychiatric,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/054131/view-all?state=CA
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,050496,2540 EAST ST,CONCORD,CA,94520,CONTRA COSTA,(925) 682-8200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050496/view-all?state=CA
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,050180,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,CONTRA COSTA,(925) 939-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,https://www.medicare.gov/care-compare/details/hospital/050180/view-all?state=CA
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,4501 SAND CREEK ROAD,ANTIOCH,CA,94531,CONTRA COSTA,(925) 813-6500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050760/view-all?state=CA
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,050072,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050072/view-all?state=CA
SAN RAMON REGIONAL MEDICAL CENTER,050689,6001 NORRIS CANYON ROAD,SAN RAMON,CA,94583,CONTRA COSTA,(925) 275-9200,Acute Care Hospitals,Proprietary,Yes,https://www.medicare.gov/care-compare/details/hospital/050689/view-all?state=CA
SUTTER DELTA MEDICAL CENTER,050523,3901 LONE TREE WAY,ANTIOCH,CA,94509,CONTRA COSTA,(925) 779-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050523/view-all?state=CA
KAISER FOUNDATION HOSPITAL,050510,99 MONTECILLO RD,SAN RAFAEL,CA,94903,MARIN,(415) 444-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050510/view-all?state=CA
MARINHEALTH MEDICAL CENTER,050360,250 BON AIR ROAD,GREENBRAE,CA,94904,MARIN,(415) 925-7900,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050360/view-all?state=CA
NOVATO COMMUNITY HOSPITAL,050131,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,(415) 209-1300,Acute Care Hospitals,Voluntary non-profit - Other,Yes,https://www.medicare.gov/care-compare/details/hospital/050131/view-all?state=CA
ADVENTIST HEALTH ST HELENA,050013,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,Acute Care Hospitals,Voluntary non-profit - Private,No,https://www.medicare.gov/care-compare/details/hospital/050013/view-all?state=CA
DEPT OF STATE HOSPITALS - NAPA,054122,2100 NAPA VALLEJO HIGHWAY,NAPA,CA,94558,NAPA,(707) 253-5000,Psychiatric,Government - State,No,https://www.medicare.gov/care-compare/details/hospital/054122/view-all?state=CA
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,Acute Care Hospitals,Voluntary non-profit - Church,Yes,https://www.medicare.gov/care-compare/details/hospital/050009/view-all?state=CA
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,050055,3555 CESAR CHAVEZ,SAN FRANCISCO,CA,94110,SAN FRANCISCO,(415) 641-6562,Acute Care Hospitals,Voluntary non-profit - Church,Yes,https://www.medicare.gov/care-compare/details/hospital/050055/view-all?state=CA
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,050047,1101 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,SAN FRANCISCO,(415) 600-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050047/view-all?state=CA
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Acute Care Hospitals,Voluntary non-profit - Other,No,https://www.medicare.gov/care-compare/details/hospital/050008/view-all?state=CA
CHINESE HOSPITAL,050407,845 JACKSON ST,SAN FRANCISCO,CA,94133,SAN FRANCISCO,(415) 982-2400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050407/view-all?state=CA
JEWISH HOME & REHAB CENTER,054089,302  SILVER AVENUE,SAN FRANCISCO,CA,94112,SAN FRANCISCO,(415) 334-2500,Psychiatric,Voluntary non-profit - Private,No,https://www.medicare.gov/care-compare/details/hospital/054089/view-all?state=CA
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,050076,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,(415) 833-2646,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050076/view-all?state=CA
LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,050668,375 LAGUNA HONDA BLVD,SAN FRANCISCO,CA,94116,SAN FRANCISCO,(415) 759-2300,Acute Care Hospitals,Government - Local,No,https://www.medicare.gov/care-compare/details/hospital/050668/view-all?state=CA
SAINT FRANCIS MEMORIAL HOSPITAL,050152,900 HYDE ST,SAN FRANCISCO,CA,94109,SAN FRANCISCO,(415) 353-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050152/view-all?state=CA
SAN FRANCISCO VA MEDICAL CENTER,05130F,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Acute Care - Veterans Administration,Veterans Health Administration,Yes,https://www.medicare.gov/care-compare/details/hospital/05130F/view-all?state=CA
ST MARY'S MEDICAL CENTER,050457,450 STANYAN ST,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 668-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050457/view-all?state=CA
UCSF LANGLEY PORTER PSYCHIATRIC HOSPITAL AND CLINICS,054144,401 PARNASSUS AVENUE,SAN FRANCISCO,CA,94143,SAN FRANCISCO,(415) 476-7000,Psychiatric,Government - State,No,https://www.medicare.gov/care-compare/details/hospital/054144/view-all?state=CA
UCSF MEDICAL CENTER,050454,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,CA,94143,SAN FRANCISCO,(415) 353-2733,Acute Care Hospitals,Voluntary non-profit - Other,Yes,https://www.medicare.gov/care-compare/details/hospital/050454/view-all?state=CA
ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,050228,1001 POTRERO AVENUE,SAN FRANCISCO,CA,94110,SAN FRANCISCO,(415) 206-8000,Acute Care Hospitals,Government - Local,Yes,https://www.medicare.gov/care-compare/details/hospital/050228/view-all?state=CA
AHMC SETON MEDICAL CENTER,050289,1900 SULLIVAN AVENUE,DALY CITY,CA,94015,SAN MATEO,(650) 992-4000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,https://www.medicare.gov/care-compare/details/hospital/050289/view-all?state=CA
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,050541,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,SAN MATEO,(650) 299-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050541/view-all?state=CA
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,050070,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,(650) 742-3200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050070/view-all?state=CA
PENINSULA MEDICAL CENTER,050007,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050007/view-all?state=CA
SAN MATEO MEDICAL CENTER,050113,222 W 39TH AVE,SAN MATEO,CA,94403,SAN MATEO,(650) 573-2222,Acute Care Hospitals,Government - Local,Yes,https://www.medicare.gov/care-compare/details/hospital/050113/view-all?state=CA
SEQUOIA HOSPITAL,050197,170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,CA,94062,SAN MATEO,(650) 369-5811,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050197/view-all?state=CA
EL CAMINO HOSPITAL,050308,2500 GRANT ROAD,MOUNTAIN VIEW,CA,94040,SANTA CLARA,(650) 940-7000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050308/view-all?state=CA
GOOD SAMARITAN HOSPITAL,050380,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,SANTA CLARA,(408) 559-2011,Acute Care Hospitals,Proprietary,Yes,https://www.medicare.gov/care-compare/details/hospital/050380/view-all?state=CA
HAZEL HAWKINS MEMORIAL HOSPITAL,051337,911 SUNSET DRIVE,HOLLISTER,CA,95032,SANTA CLARA,(831) 637-5711,Critical Access Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/051337/view-all?state=CA
KAISER FOUNDATION HOSPITAL-SAN JOSE,050604,250 HOSPITAL PARKWAY,SAN JOSE,CA,95119,SANTA CLARA,(408) 972-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050604/view-all?state=CA
KAISER FOUNDATION HOSPITAL-SANTA CLARA,050071,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,(408) 236-6400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050071/view-all?state=CA
KAISER PERMANENTE PSYCHIATRIC HEALTH FACILITY-SANT,054150,3840 HOMESTEAD ROAD,SANTA CLARA,CA,95051,SANTA CLARA,(408) 851-4850,Psychiatric,Proprietary,Yes,https://www.medicare.gov/care-compare/details/hospital/054150/view-all?state=CA
LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,053305,725 WELCH ROAD,PALO ALTO,CA,94304,SANTA CLARA,(650) 497-8000,Childrens,Voluntary non-profit - Private,No,https://www.medicare.gov/care-compare/details/hospital/053305/view-all?state=CA
PALO ALTO VA MEDICAL CENTER,05031F,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Acute Care - Veterans Administration,Veterans Health Administration,Yes,https://www.medicare.gov/care-compare/details/hospital/05031F/view-all?state=CA
REGIONAL MEDICAL CENTER OF SAN JOSE,050125,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,(408) 259-5000,Acute Care Hospitals,Government - Federal,Yes,https://www.medicare.gov/care-compare/details/hospital/050125/view-all?state=CA
SAN JOSE BEHAVIORAL HEALTH,054154,455 SILICON VALLEY BOULEVARD,SAN JOSE,CA,95138,SANTA CLARA,(669) 234-5959,Psychiatric,Proprietary,No,https://www.medicare.gov/care-compare/details/hospital/054154/view-all?state=CA
SANTA CLARA VALLEY MEDICAL CENTER,050038,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,(408) 885-5000,Acute Care Hospitals,Government - Local,Yes,https://www.medicare.gov/care-compare/details/hospital/050038/view-all?state=CA
STANFORD HEALTH CARE,050441,300 PASTEUR DRIVE,STANFORD,CA,94305,SANTA CLARA,(650) 723-5708,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050441/view-all?state=CA
60th Medical Group (Travis AFB),05015F,101 Bodin Cir Bldg 777,Travis AFB,CA,94535,SOLANO,(707) 423-7300,Acute Care - Department of Defense,Department of Defense,Yes,https://www.medicare.gov/care-compare/details/hospital/05015F/view-all?state=CA
ADVENTIST HEALTH VALLEJO,054074,525 OREGON ST,VALLEJO,CA,94590,SOLANO,(707) 648-2200,Psychiatric,Voluntary non-profit - Private,No,https://www.medicare.gov/care-compare/details/hospital/054074/view-all?state=CA
KAISER FOUNDATION HOSPITAL - VACAVILLE,050767,1 QUALITY DRIVE,VACAVILLE,CA,95688,SOLANO,(707) 624-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050767/view-all?state=CA
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,050073,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,Acute Care Hospitals,Voluntary non-profit - Private,No,https://www.medicare.gov/care-compare/details/hospital/050073/view-all?state=CA
NORTHBAY MEDICAL CENTER,050367,1200 B  GALE WILSON BLVD,FAIRFIELD,CA,94533,SOLANO,(707) 646-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050367/view-all?state=CA
SUTTER SOLANO MEDICAL CENTER,050101,300 HOSPITAL DR,VALLEJO,CA,94589,SOLANO,(707) 554-5280,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050101/view-all?state=CA
"AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA, LLC",054151,1287 FULTON ROAD,SANTA ROSA,CA,95401,SONOMA,(707) 800-7700,Psychiatric,Proprietary,Yes,https://www.medicare.gov/care-compare/details/hospital/054151/view-all?state=CA
HEALDSBURG HOSPITAL,051321,1375 UNIVERSITY AVENUE,HEALDSBURG,CA,95448,SONOMA,(707) 431-6500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/051321/view-all?state=CA
KAISER FOUNDATION HOSPITAL-SANTA ROSA,050690,401 BICENTENNIAL WAY,SANTA ROSA,CA,95403,SONOMA,(707) 571-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050690/view-all?state=CA
PETALUMA VALLEY HOSPITAL,050136,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,(707) 778-1111,Acute Care Hospitals,Voluntary non-profit - Other,Yes,https://www.medicare.gov/care-compare/details/hospital/050136/view-all?state=CA
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,050174,1165 MONTGOMERY DR,SANTA ROSA,CA,95405,SONOMA,(707) 525-5300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050174/view-all?state=CA
SONOMA VALLEY HOSPITAL,050090,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,(707) 935-5000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050090/view-all?state=CA
SUTTER SANTA ROSA REGIONAL HOSPITAL,050291,30 MARK WEST SPRINGS ROAD,SANTA ROSA,CA,95403,SONOMA,(707) 576-4000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,https://www.medicare.gov/care-compare/details/hospital/050291/view-all?state=CA
